codigo_localidad:nombre_localidad:nombre_provincia:latitud:longitud
451490001:"El Romeral":Toledo:39,7082149:-3,4334296
451510001:"San Martin de Montalban":Toledo:39,7018618:-4,3886374
451520001:"San Martin de Pusa":Toledo:39,7829662:-4,6322078
451530001:"San Pablo de los Montes":Toledo:39,5416294:-4,3321114
451540001:"San Roman de los Montes":Toledo:40,068699:-4,73228
451560001:"Santa Cruz de la Zarza":Toledo:39,9810073:-3,1888765
451570003:"Santa Cruz del Retamar":Toledo:40,1176861:-4,2423075
451580001:"Santa Olalla":Toledo:40,0237088:-4,4297848
459010001:"Santo Domingo-Caudilla":Toledo:40,013552:-4,3256918
450810008:"El Señorio de Illescas":Toledo:40,1587209:-3,8372193
451610003:"Seseña":Toledo:40,1051029:-3,6927472
451610004:"Seseña Nuevo":Toledo:40,1095833:-3,6534522
451630002:Sonseca:Toledo:39,6764458:-3,9754467
451650006:"Talavera de la Reina":Toledo:39,962884:-4,8304536
451650007:"Talavera la Nueva":Toledo:39,9365143:-4,892425
451660001:Tembleque:Toledo:39,6958069:-3,5041358
451670001:"El Toboso":Toledo:39,5139061:-2,9963089
451680001:Toledo:Toledo:39,8628316:-4,0273231
451710001:"Torre de Esteban Hambran":Toledo:40,1663643:-4,2154664
451730001:Torrijos:Toledo:39,9833124:-4,2811456
451740001:Totanes:Toledo:39,7098487:-4,2250057
451750001:Turleque:Toledo:39,6022728:-3,6129157
451760001:Ugena:Toledo:40,1585774:-3,8769847
451770001:Urda:Toledo:39,4130182:-3,7168558
451800001:Valmojado:Toledo:40,2049459:-4,088713
451810001:Velada:Toledo:39,9768943:-4,9738968
451820001:"Ventas Con Peña Aguilera":Toledo:39,611218:-4,2301461
451830001:"Las Ventas de Retamosa":Toledo:40,1550113:-4,1141353
451860001:"La Villa de Don Fadrique":Toledo:39,6143232:-3,2169622
451850001:"Villacañas":Toledo:39,6247278:-3,3373237
451870001:"Villafranca de los":Toledo:39,426019:-3,358937
451880001:"Villaluenga de la Sagra":Toledo:40,0270069:-3,9100897
451890001:"Villamiel de Toledo":Toledo:39,983277:-4,1257588
451900001:Villaminaya:Toledo:39,7124803:-3,8718935
451910001:Villamuelas:Toledo:39,817902:-3,7352577
451920001:"Villanueva de Alcardete":Toledo:39,6721357:-3,0150692
451930001:"Villanueva de Bogas":Toledo:39,7246103:-3,6559868
451950001:"Villarrubia de Santiago":Toledo:39,9850571:-3,3678641
451960002:"Villaseca de la Sagra":Toledo:39,9613279:-3,8820764
451970001:Villasequilla:Toledo:39,8738761:-3,7320845
451980001:Villatobas:Toledo:39,9016313:-3,3250413
451990001:"El Viso de San Juan":Toledo:40,1437281:-3,9196432
452000005:"Los Yebenes":Toledo:39,5811405:-3,8693481
452010001:Yeles:Toledo:40,1206959:-3,8051187
452020001:Yepes:Toledo:39,9029172:-3,6255798
452030001:Yuncler:Toledo:40,0426269:-3,9024482
452040001:Yunclillos:Toledo:40,0217589:-3,9891183
452050001:Yuncos:Toledo:40,0883936:-3,8731663
